Date,Open,High,Low,Close
1/12/18,"13,096.65","13,299.19","13,065.24","13,294.34"
1/19/18,"13,343.82","13,384.46","13,215.27","13,384.46"
1/26/18,"13,547.28","13,637.02","13,539.20","13,637.02"
2/2/18,"13,592.80","13,605.91","13,075.88","13,085.35"
2/9/18,"12,974.19","13,050.16","12,048.66","12,405.82"
2/16/18,"12,496.35","12,961.12","12,416.91","12,874.36"
2/23/18,"12,817.14","12,896.93","12,687.24","12,884.11"
3/2/18,"12,922.16","13,018.15","12,391.21","12,558.00"
3/9/18,"12,498.45","12,918.82","12,482.78","12,918.82"
3/16/18,"12,930.43","12,963.42","12,722.93","12,784.39"
3/23/18,"12,755.55","12,776.33","12,166.54","12,177.70"
3/29/18,"12,327.06","12,517.27","12,241.48","12,452.06"
4/6/18,"12,432.89","12,605.08","12,107.72","12,349.11"
4/13/18,"12,412.94","12,640.88","12,374.92","12,546.05"
4/20/18,"12,601.40","12,774.37","12,571.21","12,607.16"
4/27/18,"12,618.07","12,675.93","12,408.78","12,594.02"
5/4/18,"12,615.35","12,641.93","12,255.85","12,493.35"
5/11/18,"12,493.35","12,788.75","12,458.25","12,761.82"
5/18/18,"12,791.89","12,821.54","12,668.75","12,717.42"
5/25/18,"12,771.57","12,853.32","12,606.86","12,634.95"
6/1/18,"12,516.55","12,647.91","12,391.15","12,620.83"
6/8/18,"12,620.83","12,833.57","12,620.83","12,832.07"
6/15/18,"12,845.09","12,888.98","12,659.97","12,734.64"
6/22/18,"12,660.67","12,711.68","12,539.83","12,639.57"
6/29/18,"12,584.95","12,607.40","12,377.04","12,504.25"
7/6/18,"12,430.70","12,684.35","12,400.54","12,664.88"
7/13/18,"12,712.33","12,820.07","12,665.59","12,769.50"
7/20/18,"12,758.52","12,825.69","12,717.07","12,789.91"
7/27/18,"12,788.50","12,985.57","12,765.58","12,921.34"
8/3/18,"12,936.78","12,989.46","12,803.90","12,953.34"
8/10/18,"12,939.77","13,039.57","12,818.01","12,843.49"
8/17/18,"12,836.65","12,928.18","12,648.32","12,908.27"
8/24/18,"12,930.15","13,032.25","12,922.84","12,999.44"
8/31/18,"13,043.43","13,148.41","12,965.48","13,016.89"
9/7/18,"12,976.05","12,993.16","12,875.63","12,911.12"
9/14/18,"12,952.09","13,064.88","12,873.38","13,050.52"
9/21/18,"13,059.23","13,261.77","13,020.59","13,236.44"
9/28/18,"13,235.21","13,237.81","13,065.93","13,082.52"
10/5/18,"13,146.30","13,175.61","12,935.65","12,991.95"
10/12/18,"12,955.69","13,014.92","12,299.06","12,439.42"
10/19/18,"12,437.74","12,653.90","12,397.25","12,457.27"
10/26/18,"12,474.15","12,489.80","11,847.79","11,976.95"
11/2/18,"12,031.74","12,449.94","11,820.32","12,321.80"
11/9/18,"12,364.38","12,682.06","12,364.38","12,537.53"
11/16/18,"12,517.73","12,523.01","12,146.07","12,400.28"
11/23/18,"12,388.11","12,407.82","12,016.07","12,036.24"
11/30/18,"12,111.20","12,464.41","12,111.20","12,457.55"
12/7/18,"12,602.90","12,624.75","11,852.83","11,941.93"
12/14/18,"11,922.72","12,075.05","11,696.58","11,755.38"
12/21/18,"11,716.14","11,752.74","11,013.41","11,036.84"
12/28/18,"10,976.23","11,418.86","10,723.66","11,290.95"
1/4/19,"11,338.24","11,559.02","11,169.46","11,533.34"
1/11/19,"11,539.35","11,851.55","11,502.26","11,848.01"
1/18/19,"11,783.52","12,164.70","11,745.57","12,151.77"
1/25/19,"12,075.40","12,164.48","11,926.81","12,127.25"
2/1/19,"12,312.26","12,350.55","12,287.21","12,329.69"
2/8/19,"12,315.49","12,431.95","12,186.66","12,292.15"
2/15/19,"12,304.80","12,603.84","12,274.95","12,603.47"
2/22/19,"12,567.68","12,700.06","12,560.35","12,694.52"
3/1/19,"12,746.41","12,769.64","12,637.84","12,700.67"
3/8/19,"12,728.96","12,737.50","12,336.49","12,415.13"
3/15/19,"12,429.89","12,749.57","12,429.90","12,715.77"
3/22/19,"12,732.28","12,854.82","12,533.29","12,539.41"
3/29/19,"12,526.49","12,704.59","12,486.07","12,696.88"
4/5/19,"12,775.84","12,927.90","12,773.54","12,927.72"
4/12/19,"12,927.73","12,994.98","12,834.45","12,969.54"
4/18/19,"12,979.27","13,002.84","12,869.86","12,922.72"
4/26/19,"12,900.41","13,010.99","12,850.12","12,991.20"
5/3/19,"12,992.73","13,069.09","12,860.61","13,037.88"
5/10/19,"13,037.88","13,037.88","12,569.84","12,788.14"
5/17/19,"12,617.22","12,800.90","12,480.27","12,657.63"
5/24/19,"12,615.67","12,732.86","12,461.35","12,581.36"
5/31/19,"12,597.71","12,628.63","12,238.40","12,264.49"
6/7/19,"12,288.51","12,814.81","12,273.09","12,765.86"
6/14/19,"12,821.49","12,900.77","12,767.84","12,787.25"
6/21/19,"12,789.68","13,095.57","12,769.53","13,047.24"
6/28/19,"13,047.24","13,061.25","12,911.99","13,049.72"
7/5/19,"13,178.33","13,239.90","13,084.61","13,210.91"
7/12/19,"13,210.88","13,237.18","13,091.90","13,234.76"
7/19/19,"13,255.13","13,255.13","13,089.49","13,111.99"
7/26/19,"13,130.29","13,244.05","13,087.52","13,235.50"
8/2/19,"13,235.49","13,249.04","12,767.01","12,839.50"
8/9/19,"12,666.30","12,835.05","12,408.26","12,748.42"
8/16/19,"12,688.78","12,789.08","12,325.93","12,580.41"
8/23/19,"12,687.83","12,750.27","12,370.07","12,416.45"
8/30/19,"12,430.73","12,785.40","12,426.06","12,736.88"
9/6/19,"12,720.19","12,963.57","12,600.71","12,933.38"
9/13/19,"12,975.02","13,171.47","12,900.81","13,124.34"
9/20/19,"13,134.00","13,177.88","13,024.95","13,093.80"
9/27/19,"13,084.81","13,128.06","12,913.42","12,971.98"
10/4/19,"12,988.89","13,038.13","12,482.02","12,831.55"
10/11/19,"12,816.24","13,025.25","12,589.82","12,926.92"
10/18/19,"12,923.48","13,078.12","12,883.96","13,006.64"
10/25/19,"13,019.25","13,170.69","13,019.25","13,146.24"
11/1/19,"13,183.90","13,300.35","13,116.58","13,300.27"
11/8/19,"13,321.18","13,436.97","13,319.79","13,407.81"
11/15/19,"13,347.30","13,492.97","13,325.52","13,492.96"
11/22/19,"13,488.48","13,508.88","13,360.66","13,440.95"
11/29/19,"13,471.52","13,611.49","13,471.52","13,545.21"
12/6/19,"13,554.29","13,612.06","13,280.04","13,588.29"
12/13/19,"13,570.54","13,773.13","13,521.24","13,697.34"
